Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
12,9,9,9,3,10,2,2,2,2,2,11
15,8,9,10,7,9,2,1,3,1,2,3
18,7,8,8,4,8,2,1,3,1,4,2
20,8,10,6,5,10,3,2,5,1,4,4
54,7,9,5,10,9,2,2,1,2,2,8
54,9,9,9,7,8,1,2,3,3,2,7
67,9,9,9,9,10,2,2,2,1,1,8
89,10,10,10,9,10,1,1,3,1,2,4
91,10,10,10,10,8,4,2,6,3,2,3
96,7,6,8,8,8,2,1,4,1,3,5
101,5,9,10,9,6,3,2,6,3,2,8
106,7,10,8,6,9,3,1,5,2,4,10
106,10,8,10,2,5,1,2,1,2,2,9
114,5,7,4,0,3,2,2,2,1,1,2
122,7,6,8,8,7,2,2,2,2,1,7
134,5,5,8,5,7,3,2,5,3,2,2
150,7,10,7,1,4,3,2,2,2,3,11
163,6,6,7,5,6,3,2,6,3,2,5
167,3,5,7,1,4,1,1,2,3,1,11
176,8,8,8,7,8,2,1,3,1,2,2
186,10,8,10,4,10,2,1,1,2,2,9
194,8,7,10,4,10,2,2,3,1,4,1
195,2,1,10,8,10,4,1,4,1,2,9
200,7,9,9,9,9,1,2,2,1,2,5
201,3,5,10,5,10,1,1,4,1,3,2
207,9,9,9,9,10,2,1,6,1,2,5
213,9,9,8,9,9,2,1,4,1,1,2
216,8,9,8,8,9,2,1,3,2,2,8
220,7,9,8,6,8,1,2,2,2,1,9
225,9,8,10,8,6,1,2,5,3,1,9
232,8,7,10,8,8,1,1,2,2,1,8
234,8,8,9,0,3,2,1,1,2,4,3
238,10,7,10,10,10,3,1,6,1,4,11
264,9,9,10,10,10,1,2,5,1,3,8
277,8,9,10,8,10,2,2,1,2,1,5
318,8,8,8,8,9,2,2,5,3,1,10
320,5,7,8,9,9,5,2,5,1,2,5
329,10,10,10,10,8,3,2,5,2,4,4
334,7,7,8,5,7,1,2,1,2,1,7
338,2,8,1,0,3,4,2,1,2,1,7
346,7,9,9,6,8,2,1,2,1,2,6
350,10,10,10,10,10,1,2,2,1,2,11
354,7,10,9,6,10,2,1,4,3,4,9
373,9,9,10,9,9,3,2,4,1,2,9
376,10,10,9,10,10,3,1,5,1,2,11
377,10,10,9,10,9,1,2,3,3,4,2
391,8,5,6,7,4,2,1,1,2,2,4
401,8,10,10,6,10,2,2,5,3,2,2
411,9,9,7,8,9,1,1,4,1,1,6
412,8,8,10,9,10,1,2,2,1,2,6
420,8,8,10,10,5,1,2,4,1,2,2
422,7,5,6,8,8,2,1,2,1,1,8
426,10,10,10,10,10,1,2,5,1,2,3
427,8,9,7,7,5,3,2,5,3,4,11
449,8,8,10,9,9,1,2,5,2,2,7
453,5,6,8,8,10,4,2,5,1,4,4
458,5,5,7,8,5,1,2,2,3,2,11
